,created_at,product_code,customer_code,status,tipo,nome_tipo
1115,2023-05-11 13:01:47,103918670,10941445,NORMAL,9,Ornitorrinco
1119,2023-05-11 13:01:47,129960245,17958414,NORMAL,9,Ornitorrinco
1130,2023-05-11 13:02:29,80745448,40946961,NORMAL,9,Ornitorrinco
1139,2023-05-11 13:01:46,96036911,20923271,NORMAL,9,Ornitorrinco
1154,2023-05-11 13:02:53,135031080,8999069,NORMAL,9,Ornitorrinco
1156,2023-05-11 13:01:46,53216315,19956087,CRITICO,9,Ornitorrinco
1161,2023-05-11 13:01:47,135340785,23934671,NORMAL,9,Ornitorrinco
1163,2023-05-11 13:02:53,135030896,33939304,NORMAL,9,Ornitorrinco
1182,2023-05-11 13:02:53,135030777,13940387,NORMAL,9,Ornitorrinco
1193,2023-05-11 13:02:53,135030036,44937862,NORMAL,9,Ornitorrinco
1200,2023-05-11 13:01:47,96396514,2890556,NORMAL,9,Ornitorrinco
1242,2023-05-11 13:01:47,95903950,2194689,NORMAL,9,Ornitorrinco
1265,2023-05-11 13:01:47,78813298,919818,NORMAL,9,Ornitorrinco
1267,2023-05-11 13:01:47,135566589,44985130,NORMAL,9,Ornitorrinco
1280,2023-05-11 13:01:47,62118367,2092193,NORMAL,9,Ornitorrinco
1309,2023-05-11 13:01:46,88925053,929305,NORMAL,9,Ornitorrinco
1310,2023-05-11 13:01:47,135566612,8795736,NORMAL,9,Ornitorrinco
1314,2023-05-11 13:02:29,80751385,40950318,NORMAL,9,Ornitorrinco
1329,2023-05-11 13:02:52,135028027,22999395,NORMAL,9,Ornitorrinco
1332,2023-05-11 13:02:52,135027741,33911588,NORMAL,9,Ornitorrinco
1333,2023-05-11 13:01:46,85925509,509361,NORMAL,9,Ornitorrinco
1348,2023-05-11 13:02:52,135026701,17960904,NORMAL,9,Ornitorrinco
1379,2023-05-11 13:01:33,135359998,40909365,NORMAL,9,Ornitorrinco
1388,2023-05-11 13:01:46,87348092,1896073,NORMAL,9,Ornitorrinco
1437,2023-05-11 13:01:46,61810138,479402,NORMAL,9,Ornitorrinco
1457,2023-05-11 13:01:47,135341636,1493978,NORMAL,9,Ornitorrinco
1472,2023-05-11 13:01:47,103817772,10966827,NORMAL,9,Ornitorrinco
1475,2023-05-11 13:01:47,103916193,8495229,NORMAL,9,Ornitorrinco
1505,2023-05-11 13:02:45,82161869,9390231,NORMAL,9,Ornitorrinco
1510,2023-05-11 13:01:46,135207712,6299608,NORMAL,9,Ornitorrinco
1518,2023-05-11 13:02:51,135024528,44997787,NORMAL,9,Ornitorrinco
1529,2023-05-11 13:01:32,135359854,8898016,NORMAL,9,Ornitorrinco
1571,2023-05-11 13:01:32,122559016,54956938,CRITICO,9,Ornitorrinco
1588,2023-05-11 13:01:38,134497952,42917130,CRITICO,9,Ornitorrinco
1590,2023-05-11 13:01:46,86048332,1495635,NORMAL,9,Ornitorrinco
1595,2023-05-11 13:01:31,109930186,32975324,NORMAL,9,Ornitorrinco
1622,2023-05-11 13:01:45,67479481,9192962,CRITICO,9,Ornitorrinco
