,created_at,product_code,customer_code,status,tipo,nome_tipo
1296,2023-05-11 13:01:47,61645915,1140867,CRITICO,4,Urso
1300,2023-05-11 13:01:46,75975642,2042753,NORMAL,4,Urso
1320,2023-05-11 13:01:47,67076924,2343614,NORMAL,4,Urso
1324,2023-05-11 13:01:45,85327811,1549178,NORMAL,4,Urso
1344,2023-05-11 13:01:46,67222591,1040445,CRITICO,4,Urso
1350,2023-05-11 13:01:47,134992686,28403814,CRITICO,4,Urso
1353,2023-05-11 13:01:46,62658172,1041368,CRITICO,4,Urso
1365,2023-05-11 13:01:46,83007503,214505,NORMAL,4,Urso
1371,2023-05-11 13:01:47,135341475,28462002,NORMAL,4,Urso
1401,2023-05-11 13:01:46,86169950,314763,NORMAL,4,Urso
1427,2023-05-11 13:02:51,81381773,33417333,NORMAL,4,Urso
1435,2023-05-11 13:01:46,135504663,56462295,NORMAL,4,Urso
1440,2023-05-11 13:01:47,66995440,2543880,NORMAL,4,Urso
1466,2023-05-11 13:01:33,108621261,40481488,NORMAL,4,Urso
1487,2023-05-11 13:01:32,121567974,47473812,NORMAL,4,Urso
1492,2023-05-11 13:01:35,135066490,8844517,NORMAL,4,Urso
1497,2023-05-11 13:02:51,135024659,31400488,NORMAL,4,Urso
1506,2023-05-11 13:01:46,86464511,1140241,CRITICO,4,Urso
1519,2023-05-11 13:01:38,133969296,12433098,NORMAL,4,Urso
1531,2023-05-11 13:02:51,135024256,40448965,NORMAL,4,Urso
1532,2023-05-11 13:01:46,81586878,1142294,NORMAL,4,Urso
1555,2023-05-11 13:01:33,134934549,33468267,CRITICO,4,Urso
1557,2023-05-11 13:01:46,85567164,954495,NORMAL,4,Urso
1575,2023-05-11 13:01:46,86001510,574519,NORMAL,4,Urso
1608,2023-05-11 13:01:47,94864119,444270,NORMAL,4,Urso
1614,2023-05-11 13:01:46,90812818,1248525,NORMAL,4,Urso
1640,2023-05-11 13:01:46,92900887,1349720,NORMAL,4,Urso
1644,2023-05-11 13:01:32,122558311,47479319,CRITICO,4,Urso
1653,2023-05-11 13:02:50,135020267,56417732,NORMAL,4,Urso
1685,2023-05-11 13:01:46,88960391,364082,NORMAL,4,Urso
1689,2023-05-11 13:02:50,135019611,31455236,NORMAL,4,Urso
1692,2023-05-11 13:01:46,65685456,174355,CRITICO,4,Urso
1698,2023-05-11 13:01:46,76693375,924781,CRITICO,4,Urso
1709,2023-05-11 13:01:45,53541134,14477463,NORMAL,4,Urso
1766,2023-05-11 13:01:46,94491209,584835,CRITICO,4,Urso
1777,2023-05-11 13:01:45,61633323,14452864,CRITICO,4,Urso
1780,2023-05-11 13:01:45,53447870,12465180,CRITICO,4,Urso
1788,2023-05-11 13:01:45,71179898,14468508,NORMAL,4,Urso
1799,2023-05-11 13:01:46,75609645,514024,CRITICO,4,Urso
1804,2023-05-11 13:01:31,121575665,40432922,NORMAL,4,Urso
1814,2023-05-11 13:02:49,135017489,40400980,NORMAL,4,Urso
1816,2023-05-11 13:01:46,78833811,614955,NORMAL,4,Urso
1818,2023-05-11 13:01:45,53034699,11416892,NORMAL,4,Urso
1825,2023-05-11 13:01:46,79881117,1248564,NORMAL,4,Urso
1832,2023-05-11 13:02:49,135017364,45447615,NORMAL,4,Urso
1856,2023-05-11 13:02:49,81375442,25426099,NORMAL,4,Urso
1863,2023-05-11 13:01:45,85547846,20407786,NORMAL,4,Urso
1870,2023-05-11 13:01:32,123861161,47449543,NORMAL,4,Urso
1923,2023-05-11 13:01:36,135070619,1644522,NORMAL,4,Urso
1931,2023-05-11 13:01:46,85560685,564368,NORMAL,4,Urso
1956,2023-05-11 13:01:46,59727830,44438,NORMAL,4,Urso
1969,2023-05-11 13:02:26,135204452,28435377,NORMAL,4,Urso
2020,2023-05-11 13:01:45,61468502,20430858,CRITICO,4,Urso
2036,2023-05-11 13:01:45,53129037,10422431,NORMAL,4,Urso
2037,2023-05-11 13:01:45,53219212,20406709,CRITICO,4,Urso
2049,2023-05-11 13:01:45,53074376,14444053,NORMAL,4,Urso
2054,2023-05-11 13:01:45,53253426,14496870,CRITICO,4,Urso
2060,2023-05-11 13:01:45,53497097,14449900,CRITICO,4,Urso
2112,2023-05-11 13:01:31,123863902,45458491,NORMAL,4,Urso
2124,2023-05-11 13:01:31,124451087,40430900,CRITICO,4,Urso
2126,2023-05-11 13:01:35,128162749,12466276,NORMAL,4,Urso
2131,2023-05-11 13:02:48,135010031,13436106,NORMAL,4,Urso
2135,2023-05-11 13:02:48,135011955,52413210,NORMAL,4,Urso
2162,2023-05-11 13:01:45,59270927,14418660,CRITICO,4,Urso
2165,2023-05-11 13:01:45,97740111,14483124,NORMAL,4,Urso
2201,2023-05-11 13:01:45,85608072,1549088,CRITICO,4,Urso
2237,2023-05-11 13:01:32,111620049,6546037,NORMAL,4,Urso
2241,2023-05-11 13:01:45,69297358,25431628,CRITICO,4,Urso
2288,2023-05-11 13:01:44,135126485,42497859,NORMAL,4,Urso
2297,2023-05-11 13:01:45,53129037,10422431,NORMAL,4,Urso
2310,2023-05-11 13:01:31,125861037,42419141,NORMAL,4,Urso
2320,2023-05-11 13:01:38,133964791,27406778,NORMAL,4,Urso
2355,2023-05-11 16:14:15,122348882,55424257,CRITICO,4,Urso
2539,2023-05-11 13:02:45,134498015,4848880,CRITICO,4,Urso
2544,2023-05-11 13:02:45,134498015,4848880,CRITICO,4,Urso
2545,2023-05-11 13:02:45,134498015,4848880,CRITICO,4,Urso
2546,2023-05-11 13:02:45,134498015,4848880,CRITICO,4,Urso
2547,2023-05-11 13:02:45,135001210,44402255,NORMAL,4,Urso
2561,2023-05-11 13:02:45,134948110,27480239,CRITICO,4,Urso
2622,2023-05-11 13:02:45,134948110,27480239,CRITICO,4,Urso
2639,2023-05-11 13:02:45,134948158,22461560,CRITICO,4,Urso
2652,2023-05-11 13:01:30,122271019,40471135,CRITICO,4,Urso
2672,2023-05-11 13:02:44,134951339,5644395,CRITICO,4,Urso
2693,2023-05-11 13:02:44,81361633,40408866,NORMAL,4,Urso
2701,2023-05-11 13:02:44,134951495,33485039,CRITICO,4,Urso
2705,2023-05-11 13:02:44,134944244,42439064,CRITICO,4,Urso
2717,2023-05-11 13:02:44,134950558,40476102,CRITICO,4,Urso
2742,2023-05-11 13:02:44,134947846,5747994,CRITICO,4,Urso
2772,2023-05-11 13:01:37,128146139,6740865,NORMAL,4,Urso
2821,2023-05-11 13:02:43,134941154,27495625,CRITICO,4,Urso
2822,2023-05-11 13:02:43,81352204,20466800,NORMAL,4,Urso
2871,2023-05-11 13:02:43,134943909,42448167,CRITICO,4,Urso
2873,2023-05-11 13:02:27,80738806,29440736,NORMAL,4,Urso
2884,2023-05-11 16:14:00,130791596,55428988,NORMAL,4,Urso
2914,2023-05-11 13:02:43,134940122,33442831,CRITICO,4,Urso
2969,2023-05-11 13:01:30,122554543,37418677,CRITICO,4,Urso
2988,2023-05-11 13:02:42,134939082,38489705,CRITICO,4,Urso
2992,2023-05-11 13:02:42,134939073,31456582,CRITICO,4,Urso
3020,2023-05-11 13:01:30,121585061,5341631,NORMAL,4,Urso
3031,2023-05-11 13:01:28,109941917,7244445,NORMAL,4,Urso
3033,2023-05-11 13:01:30,109937399,10448121,NORMAL,4,Urso
3056,2023-05-11 13:01:40,108169192,47473811,NORMAL,4,Urso
3057,2023-05-11 13:01:21,7466305,6347821,CRITICO,4,Urso
3091,2023-05-11 13:01:40,54894194,31486261,NORMAL,4,Urso
3108,2023-05-11 13:01:30,122554908,38484604,CRITICO,4,Urso
3118,2023-05-11 13:02:41,134937351,6847598,CRITICO,4,Urso
3119,2023-05-11 13:02:19,135204455,28435377,NORMAL,4,Urso
3126,2023-05-11 13:02:40,81279853,40472888,CRITICO,4,Urso
3129,2023-05-11 13:02:41,134937997,41400290,CRITICO,4,Urso
3150,2023-05-11 13:01:30,124450515,33444612,CRITICO,4,Urso
3166,2023-05-11 16:13:52,135573800,44477762,NORMAL,4,Urso
3184,2023-05-11 13:02:41,134937771,40496195,CRITICO,4,Urso
3212,2023-05-11 13:01:40,93535002,44491784,NORMAL,4,Urso
